@RELATION appendixE_666_pointO_pulse_only

@ATTRIBUTE omega_m_MHz NUMERIC
@ATTRIBUTE omega_a_MHz NUMERIC
@ATTRIBUTE sigma_ns NUMERIC
@ATTRIBUTE T_active_ns NUMERIC
@ATTRIBUTE T_total_ns NUMERIC
@ATTRIBUTE omega_r_MHz NUMERIC
@ATTRIBUTE omega_p_MHz NUMERIC
@ATTRIBUTE g_qr_MHz NUMERIC
@ATTRIBUTE J_MHz NUMERIC
@ATTRIBUTE detuning_MHz NUMERIC
@ATTRIBUTE leakage_final NUMERIC
@ATTRIBUTE min_leakage NUMERIC
@ATTRIBUTE min_leakage_time_ns NUMERIC

@DATA
563,124,6,40,64,7129,7111,120,28.8,2,0.01504979542,0.009863937927,49.41772152
564,124,4,30,46,7129,7111,120,28.8,4,0.06177643185,0.06177643185,46
564,124,5,30,50,7129,7111,120,28.8,4,0.06773761767,0.06773761767,50
564,124,6,30,54,7129,7111,120,28.8,4,0.07500946799,0.07500946799,54
564,124,4,32,48,7129,7111,120,28.8,4,0.04661315155,0.04661315155,48
564,124,5,32,52,7129,7111,120,28.8,4,0.05083514269,0.05083514269,52
564,124,6,32,56,7129,7111,120,28.8,4,0.05611616067,0.05611616067,56
564,124,4,34.5,50.5,7129,7111,120,28.8,4,0.03807138391,0.03806174887,48.58227848
564,124,5,34.5,54.5,7129,7111,120,28.8,4,0.04039996243,0.04039636843,53.12025316
564,124,6,34.5,58.5,7129,7111,120,28.8,4,0.04345918342,0.04345918342,58.5
564,124,4,37,53,7129,7111,120,28.8,4,0.03821090072,0.03627417904,44.27848101
564,124,5,37,57,7129,7111,120,28.8,4,0.03903390914,0.03758093395,47.62025316
564,124,6,37,61,7129,7111,120,28.8,4,0.0402703428,0.0393040622,50.96202532
564,124,4,40,56,7129,7111,120,28.8,4,0.04558874553,0.03585738514,43.24050633
564,124,5,40,60,7129,7111,120,28.8,4,0.04515723653,0.03679016399,46.32911392
564,124,6,40,64,7129,7111,120,28.8,4,0.04481241394,0.0379132951,48.60759494
562,128,4,30,46,7129,7111,120,28.8,-4,0.04239600405,0.04239600405,46
562,128,5,30,50,7129,7111,120,28.8,-4,0.0467659712,0.0467659712,50
562,128,6,30,54,7129,7111,120,28.8,-4,0.05227424183,0.05227424183,54
562,128,4,32,48,7129,7111,120,28.8,-4,0.03535486801,0.03534364642,46.17721519
562,128,5,32,52,7129,7111,120,28.8,-4,0.03790054499,0.03789845923,51.34177215
562,128,6,32,56,7129,7111,120,28.8,-4,0.04128368395,0.04128368395,56
562,128,4,34.5,50.5,7129,7111,120,28.8,-4,0.03625437411,0.03348905007,41.55063291
562,128,5,34.5,54.5,7129,7111,120,28.8,-4,0.03693823432,0.03489241252,44.84177215
562,128,6,34.5,58.5,7129,7111,120,28.8,-4,0.03808357266,0.03674565524,48.87341772
562,128,4,37,53,7129,7111,120,28.8,-4,0.04430806727,0.03310646952,40.92405063
562,128,5,37,57,7129,7111,120,28.8,-4,0.04365060779,0.03412064322,43.29113924
562,128,6,37,61,7129,7111,120,28.8,-4,0.04311689873,0.03542682283,46.32911392
562,128,4,40,56,7129,7111,120,28.8,-4,0.05842674892,0.03299887518,40.40506329
562,128,5,40,60,7129,7111,120,28.8,-4,0.05684345876,0.03392809368,42.53164557
562,128,6,40,64,7129,7111,120,28.8,-4,0.05506251016,0.03488062261,45.36708861
