@RELATION appendixE_06_omega_m_sweep

@ATTRIBUTE omega_m_MHz NUMERIC
@ATTRIBUTE omega_a_MHz NUMERIC
@ATTRIBUTE sigma_ns NUMERIC
@ATTRIBUTE T_active_ns NUMERIC
@ATTRIBUTE T_total_ns NUMERIC
@ATTRIBUTE omega_r_MHz NUMERIC
@ATTRIBUTE omega_p_MHz NUMERIC
@ATTRIBUTE g_qr_MHz NUMERIC
@ATTRIBUTE J_MHz NUMERIC
@ATTRIBUTE detuning_MHz NUMERIC
@ATTRIBUTE leakage_final NUMERIC
@ATTRIBUTE min_leakage NUMERIC
@ATTRIBUTE min_leakage_time_ns NUMERIC

@DATA
555,136,6,34.5,58.5,7129,7111,120,28.8,-26,0.6145114877,0.6102733129,48.94897959
557.5,136,6,34.5,58.5,7129,7111,120,28.8,-21,0.5176277582,0.4981880423,34.62244898
560,136,6,34.5,58.5,7129,7111,120,28.8,-16,0.3878594549,0.3517540976,37.01020408
562.5,136,6,34.5,58.5,7129,7111,120,28.8,-11,0.2333378559,0.197001832,39.39795918
565,136,6,34.5,58.5,7129,7111,120,28.8,-6,0.09297677983,0.06635770017,40.59183673
567.5,136,6,34.5,58.5,7129,7111,120,28.8,-1,0.0219071633,0.002141920624,41.78571429
570,136,6,34.5,58.5,7129,7111,120,28.8,4,0.05344436424,0.03066323286,41.78571429
572.5,136,6,34.5,58.5,7129,7111,120,28.8,9,0.1724113802,0.1394998273,39.39795918
575,136,6,34.5,58.5,7129,7111,120,28.8,14,0.3275342171,0.2895229653,38.20408163
577.5,136,6,34.5,58.5,7129,7111,120,28.8,19,0.4698360266,0.4420092404,35.81632653
580,136,6,34.5,58.5,7129,7111,120,28.8,24,0.5792335348,0.5747444783,33.42857143
582.5,136,6,34.5,58.5,7129,7111,120,28.8,29,0.6607664008,0.6546338563,48.94897959
585,136,6,34.5,58.5,7129,7111,120,28.8,34,0.7254805257,0.7147603528,46.56122449
587.5,136,6,34.5,58.5,7129,7111,120,28.8,39,0.7787562368,0.7634339667,45.36734694
590,136,6,34.5,58.5,7129,7111,120,28.8,44,0.8212848551,0.8040789225,44.17346939
